title,description,pubDate
[사전투표] 본인 확인받는 유권자들,코로나19 확진자와 격리자의 경우에는 오는 5일 방역 당국의 외출 허용 시각인 오후 5시부터 오후 6시 전까지 사전투표소에 도착하면 일반 선거인과 동선이 분리된 임시 기표소에서 투표할 수 있다. 2022.3.4,"Fri, 04 Mar 2022 09:57:00 +0900"
신규 확진 역대 최다 '26만6853명',= 코로나19 신규 확진자가 역대 최다인 26만6853명 발생한 4일 오후 서울 중구 서울역 임시선별검사소에서 시민들이 줄 서 있다. 이날 사망자 또한 186명 급증해 최다치를 기록했다. 2022.03.04,"Fri, 04 Mar 2022 09:57:00 +0900"
코로나 신규 확진 역대 최다 26만6853명,= 코로나19 신규 확진자가 역대 최다인 26만6853명 발생한 4일 오후 서울 중구 서울역 임시선별검사소에서 시민들이 줄 서 있다. 이날 사망자 또한 186명 급증해 최다치를 기록했다. 2022.03.04,"Fri, 04 Mar 2022 09:57:00 +0900"
"미코바이오메드, '스텔스 오미크론' 진단키트 수출 허가",체외진단의료기기업체인 미코바이오메드는 식품의약품안전처로부터 스텔스 오미크론까지 검출 가능한 코로나19 변이 진단키트에 대한 수출 허가를 받았다고 4일 밝혔다. 코로나19 오미크론의 하위 변이인 스텔스...,"Fri, 04 Mar 2022 09:57:00 +0900"
코로나 사망자 200명 턱밑…확진자 하루 새 약 7만명 늘어 26만명대,"오늘(4일) 0시 기준 코로나19 신규 확진자는 26만6853명입니다. 전날(19만8803명)보다 6만8050명이... 코로나19 백신 1차 접종률은 87.4%, 2차 접종률은 86.5%로 집계됐습니다. 3차 접종률은 61.7%입니다.","Fri, 04 Mar 2022 09:57:00 +0900"
[속보] 코로나 신규 확진 26만6853명·사망 186명… 또 ‘역대 최다’,코로나19 국내 확진자 수와 사망자 수가 각각 전날 대비 26만6853명·186명 늘면서 다시 한 번 역대 최다치를 기록했다. 질병관리청 중앙방역대책본부는 4일 0시 기준 국내 코로나19 누적 확진자 수는 총...,"Fri, 04 Mar 2022 09:57:00 +0900"
코로나 신규 확진 26만6853명·사망 186명 또 '역대 최다',= 코로나19 신규 확진자가 역대 최다인 26만6853명 발생한 4일 오후 서울 중구 서울역 임시선별검사소에서 시민들이 신속항원검사를 받고 있다. 이날 사망자 또한 186명 급증해 최다치를 기록했다. 2022.03.04,"Fri, 04 Mar 2022 09:56:00 +0900"
[백두대간 사진전] 뉴질랜드인이 찍은 북녘의 백두대간,"2019년까지 북한을 몇 차례 더 다녀온 그는 코로나19 사태로 북한 국경이 닫히면서 국내에서 백두대간 홍보를... 이미 평양, 일본 교토, 뉴질랜드 등에서 백두대간 사진전을 연  그는 코로나19 사태가 끝난 뒤 기존의 사진에...","Fri, 04 Mar 2022 09:56:00 +0900"
청운대 이색 입학식 '눈길',청운대에 따르면 이번 이색 행사는 신종 코로나바이러스 감염증(코로나19)로 침체돼 있는 학생들에게 문화예술 공연을 통해 환영의 메시지를 전하고자 마련됐다. 행사에 직접 참여하지 못하는 학생들을 위해 유튜브를...,"Fri, 04 Mar 2022 09:56:00 +0900"
"쿠팡, 지난해 매출 22조 돌파…'적자 감소'는 숙제","이에대해 쿠팡은 ""코로나19 방역과 쿠팡이츠, 쿠팡플레이 등 신사업을 위한 투자 비용 1억3000만 달러(1560억원)가 포함됐다""고 설명했다. 이 같은 적자에 대해 쿠팡은 물류센터의 확충, 지속된 투자를 통한 이커머스...","Fri, 04 Mar 2022 09:56:00 +0900"
"BN그룹, 제56회 납세자의 날 '산업포장' 수상","선박용 내장재의 세계적 경쟁력을 갖춘 기업 경영, 투명한 경영을 통한 우수한 납세실적, 코로나19 등 대외상황이 어려움에도 고용창출과 적극적인 사회공헌활동 등 지역사회 발전에 기여점을 인정받았다. 유영호...","Fri, 04 Mar 2022 09:56:00 +0900"
[지자체 오늘 뉴스] 강진군 거제시 청도군,"임준형 일자리창출 과장은 ""전남 청년 근속장려금 지원사업이 코로나19 장기화로 직장을 얻는데 어려움을... 김춘기 소장은 ""올해 추진하는 시범사업이 기술 보급은 물론, 농업 경쟁력 향상으로 코로나19로 위축된 농촌에...","Fri, 04 Mar 2022 09:56:00 +0900"
[코로나19 브리핑] 신규 확진 20만 명 근접·사망자 최다…증가세 줄어드나?,"코로나19 신규 확진자가 전날보다 2만여 정도 줄었지만, 여전히 20만 명에 가깝습니다. 하지만 방역 당국은 매주 두 배로 늘어나던 때에 비하면 증가세가 점차 둔화하고 있다고 보고 있는데요. 자세한 상황, 코로나19...","Fri, 04 Mar 2022 09:56:00 +0900"
제주지역 오전9시 기준 사전투표율 2.18% 기록,코로나19 확진자 및 격리자는 사전투표 이틀째인 5일 방역당국의 외출 허용 문자메시지를 받고 오후 5시부터 6시 전까지 사전투표소에 도착하면 일반 선거인과 동선이 분리된 임시 기표소에서 투표할 수 있다....,"Fri, 04 Mar 2022 09:56:00 +0900"
"KT&amp;G-마포구청, 홍대 문화예술 관광특구 활성화 위한 MOU 체결","신인 뮤지션 발굴 프로젝트, 명사 초청 야외 강연 등 다양한 프로그램 선보여  KT&amp;G와 마포구청이 코로나19 장기화로 어려움을 겪고 있는 홍대 문화예술 관광특구 활성화를 위한 업무협약(MOU)을 지난 3일 체결했다. 홍대...","Fri, 04 Mar 2022 09:56:00 +0900"
"신규 확진 역대 최다, 오늘도 긴 줄",= 코로나19 신규 확진자가 역대 최다인 26만6853명 발생한 4일 오후 서울 중구 서울역 임시선별검사소에서 시민들이 줄 서 있다. 이날 사망자 또한 186명 급증해 최다치를 기록했다. 2022.03.04,"Fri, 04 Mar 2022 09:56:00 +0900"
"중기 옴부즈만, 기재부 등 관계부처·공공기관과 규제개선 간담회","하지만 코로나19 및 사회적 거리두기에 따른 경제위기가 지속되고 있어, 일선 현장 전문가인 공공기관이... 여성경제인 연합회 이정한 회장은 “코로나19가 지속됨에 따라 중소기업 지원을 위해 작년 7월 국가계약법...","Fri, 04 Mar 2022 09:56:00 +0900"
"더존비즈온, 2021년 귀속 법인세 신고 온라인 세미나 개최","마련 코로나 19 시대 재택근무환경에서 직원소통 등 세무회계사무소 업무혁신 방법 제시 (조세금융신문... 더존비즈온은 올해 법인세 신고기간 역시 코로나 19로 인해 큰 어려움이 예상되는 만큼, 누구나 쉽게 참여할 수...","Fri, 04 Mar 2022 09:56:00 +0900"
5일부터 거리두기 밤 10시→11시로 완화…6인 유지,"전 장관은 ""수도권과 비수도권 지역 모두 코로나19 위험도가 높음 수준을 이어가고 있다""면서 ""이번 주... 그는 ""정부는 앞으로도 위중증의 안정적 관리를 비롯한 의료 여력에 대한 객관적 평가 등을 바탕으로 코로나19...","Fri, 04 Mar 2022 09:56:00 +0900"
[조간브리핑]'미래산업 이끌 유니콘' 한자리 모였다,[중앙일보]한국 과학기술이 BTS처럼 되려면… 코로나19 와중에 오랜만에 해외 출장을 다녀왔다. 미국에서 대한민국 기업의 제품을 보며 한국인으로서 새삼 긍지를 느꼈다. BTS로 대표되는 한류 문화의 존재감도...,"Fri, 04 Mar 2022 09:56:00 +0900"
코로나 신규 확진 매일 '역대 최다',= 코로나19 신규 확진자가 역대 최다인 26만6853명 발생한 4일 오후 서울 중구 서울역 임시선별검사소에서 시민들이 줄 서 있다. 이날 사망자 또한 186명 급증해 최다치를 기록했다. 2022.03.04,"Fri, 04 Mar 2022 09:56:00 +0900"
[특징주] '대원제약' 거리두기 조정안 발표에 코로나 치료제 주목↑,전문가들은 이번 발표를 통해 거리두기 축소로 갈 가능성이 높다고 말하면서 먹는 코로나 치료제 관련주들이 주목을 받고 있다. 특히 대원제약은 지난달 새로운 코로나19 치료제 개발계획을 승인 받았으며 현재...,"Fri, 04 Mar 2022 09:56:00 +0900"
신규확진 26만6천853명…하루새 7만여 명 급증,질병관리청 중앙방역대책본부(방대본)는 오늘(4일) 0시 기준 코로나19 신규 확진자 수가 26만6천853명이라고 밝혔습니다. 위중증 환자는 797명으로 전날보다 35명 증가한 수치입니다. 사망자는 186명으로 역대...,"Fri, 04 Mar 2022 09:56:00 +0900"
"나주시, 제20대 대선 사전투표 '만반의 준비'","지난 달 25일 확정된 나주시 선거인수는 전체 84.88%인 9만9060명으로 집계됐으며 투표는 일반 유권자를 비롯해 코로나19 확진·격리자 모두 투표에 참여할 수 있다. 단, 코로나 확진·격리자의 경우 사전 투표 이틀 차인...","Fri, 04 Mar 2022 09:56:00 +0900"
제천국제음악영화제 실무 교육 아카데미 개설,소개하며 국내를 넘어 아시아 유일의 음악영화제로 자리 잡은 제천국제음악영화제는 지난해 코로나19로 인해 축소되었던 대표 음악 프로그램인 '원 썸머 나잇'을 비롯한 다양한 축제성 프로그램을 준비하고 있다.,"Fri, 04 Mar 2022 09:56:00 +0900"
사전투표 전국 3552곳서 시작…확진자는 내일,사전투표 2일 차인 5일에는 코로나19 확진자가 치료를 받는 생활치료센터 내에 특별사전투표소 10개소도 별도로 운영된다. 확진자와 격리자의 경우에도 5일 방역 당국의 외출 허용 시각인 오후 5시부터 오후 6시 전까지...,"Fri, 04 Mar 2022 09:56:00 +0900"
과천시 상가 밀집지역 등 실외 흡연실 3개소 설치,"흡연실은 코로나19 확산 위험이 있을 수 있는 점을 감안, 자연환기가 가능하고 시설물 관리가 용이한 개방형으로 설치된다. 시는 4일까지 흡연실 설치공사를 완료하고 오는 7일부터 시민에게 개방할 예정이며 흡연자들이...","Fri, 04 Mar 2022 09:56:00 +0900"
코로나 신규 확진 역대 최다 26만6853명·사망 186명,= 코로나19 신규 확진자가 역대 최다인 26만6853명 발생한 4일 오후 서울 중구 서울역 임시선별검사소에서 시민들이 줄 서 있다. 이날 사망자 또한 186명 급증해 최다치를 기록했다. 2022.03.04,"Fri, 04 Mar 2022 09:56:00 +0900"
식당-카페 등 영업시간 내일부터 밤 11시까지,"코로나19 사태가 장기화한 가운데 물가가 고공행진을 이어가면서 가계가 허리띠를 더욱 졸라매고 있다.... 이어서 ""앞으로도 위중증의 안정적 관리를 비롯한 의료 여력에 대한 객관적 평가 등을 바탕으로 코로나19...","Fri, 04 Mar 2022 09:56:00 +0900"
"권영진 대구시장, 20대 대선 사전투표로 소중한 한 표 행사","역대 선거와 달리 이번 선거에서는 공직선거법이 개정돼 코로나19 확진자 및 자가격리자의 투표권이 보장됨에 따라 사전투표 둘째 날인 5일 오후 6시까지, 본 투표일인 9일에는 오후 6시부터 7시 반 사이에 투표소에...","Fri, 04 Mar 2022 09:56:00 +0900"
"동작구, 12세 미만 소아환자 의료 대응 체계 강화",소아환자 코로나19 유증상시를 대비해 △비대면 상담·진료 가능 병원 10개소 △소아약 제조 약국 12개소도... 이 밖에도 구는 △어린이집 원아 및 교사 △임산부 △사회복지시설 이용 아동 등에 코로나 감염 취약계층에...,"Fri, 04 Mar 2022 09:56:00 +0900"
"이연제약·아이진, 5거래일만에 하락…이연제약 1% 낙폭 이어 아이진 3% 낙폭",73%(350원) 낮은 1만2450원에 거래되고 있다. 이 회사는 25일부터 3일까지 4거래일 연속 상승세다. 이연제약은 아이진과 코로나 바이러스 mRNA 백신의 생산 및 후속 후보물질 공동개발에 나선 바 있다.,"Fri, 04 Mar 2022 09:56:00 +0900"
전국 3552개 투표소 사전투표 시작...문 대통령 “국민모두 신성한 투표권 행...,코로나19 확진자를 위한 투표는 내일부터 시작된다. 확진자와 격리자는 5일 오후 5시부터 오후 6시 전까지 사전투표소에 도착하면 일반 선거인과 동선이 분리된 임시 기표소에서 투표가 가능하다. 또 선관위는 코로나19...,"Fri, 04 Mar 2022 09:56:00 +0900"
강원 첫 5000명대 확진…누적 8만명 육박,"강원도내 코로나19 하루 신규 확진자가 5000명을 넘어서면서 역대 최다 기록을 경신했다. 4일 강원도에 따르면 이날 0시 기준 도내 신규 확진자는 원주 1420명, 춘천 1367명, 강릉 721명, 속초 311명...","Fri, 04 Mar 2022 09:56:00 +0900"
[평양핫라인] 10년 농업진흥계획의 시작‥농사차비 독려에 총력,목표를 주민들이 달성할 수 있도록 독려하는데 총력을 다 하고 있습니다. 코로나 방역을 위한 국경봉쇄와 대북제재 등의 어려운 문제 속에서도 북한에게는 '식량난 해결을 위한 농업 진흥'이 여전히 제1순위 과제로 보입니다.,"Fri, 04 Mar 2022 09:56:00 +0900"
"현대건설, 선수 4명 추가 확진...선수 12명 자가격리 상황","현대건설에서 '코로나 19' 추가 확진자가 나왔다. 현대건설은 하루 전인 3일 실시한 PCR(유전자증폭) 검사... KOVO(한국배구연맹)는 시즌 전 14개 구단과 논의를 통해 코로나 19 대응 매뉴얼을 확정했고, 시즌 중에도...","Fri, 04 Mar 2022 09:56:00 +0900"
"코로나 역대 최다, 아침부터 줄 서 있는 시민들",= 코로나19 신규 확진자가 역대 최다인 26만6853명 발생한 4일 오후 서울 중구 서울역 임시선별검사소에서 시민들이 줄 서 있다. 이날 사망자 또한 186명 급증해 최다치를 기록했다. 2022.03.04,"Fri, 04 Mar 2022 09:56:00 +0900"
신규확진 26만명대,"코로나19 신규 확진자 수가 26만 6853명을 기록한 4일 서울역 임시선별검사소에서 시민들이 검사를 받기 위해 줄을 서 있다. 국내 발생 신규 확진자는 26만 6771명, 해외유입 사례는 82명이 확인돼 신규 확진자는...","Fri, 04 Mar 2022 09:55:00 +0900"
